ISBN            WWU Price       Amazon Price    Difference     
9780143126522   13.50           2.99            10.51          
9780195333008   23.50           13.00           10.50          
9780140442953   13.50           3.01            10.49          
9781596913424   11.50           1.16            10.34          
9781571103840   15.25           4.92            10.33          
9780312428235   12.25           1.93            10.32          
9780143121947   13.50           3.18            10.32          
9780826323576   20.25           9.95            10.30          
9781571104229   15.25           4.96            10.29          
9780325004778   42.25           31.97           10.28          
9780736066792   75.25           64.99           10.26          
9780897333658   10.25           0.01            10.24          
9780394172446   10.25           0.01            10.24          
9780812980554   12.25           2.01            10.24          
9780143034360   10.25           0.01            10.24          
9780132679381   34.50           24.29           10.21          
9780300095241   11.50           1.33            10.17          
9780452273870   10.25           0.17            10.08          
9780132853354   57.25           47.18           10.07          
9780195113921   16.75           6.72            10.03          
9781618570765   80.00           69.99           10.01          
9780393912807   39.00           29.00           10.00          
9780395927205   10.00           0.01            9.99           
9780060569662   10.00           0.01            9.99           
9780609807378   10.00           0.01            9.99           
9781400079377   10.00           0.01            9.99           
9780486210803   10.00           0.01            9.99           
9780143106708   10.75           0.76            9.99           
9780393320978   10.00           0.01            9.99           
9780060512637   10.00           0.01            9.99           
9780393978513   12.25           2.27            9.98           
9780312676025   47.75           37.80           9.95           
9780742570504   18.75           8.80            9.95           
9780812977868   10.25           0.32            9.93           
9780230006737   24.25           14.33           9.92           
9780807747025   17.50           7.62            9.88           
9780205521067   36.25           26.38           9.87           
9780811202251   10.75           0.88            9.87           
9780140447590   10.25           0.41            9.84           
9780195289602   23.75           13.91           9.84           
9780393979176   13.75           3.93            9.82           
9780140445657   10.25           0.43            9.82           
9780415890229   36.50           26.70           9.80           
9780826317971   10.00           0.21            9.79           
9781451697384   20.25           10.49           9.76           
9781577664352   13.50           3.78            9.72           
9781568983295   16.75           7.03            9.72           
9780801499616   13.50           3.82            9.68           
9780393314922   11.50           1.83            9.67           
9780143035466   10.75           1.10            9.65           
9780816675487   15.25           5.60            9.65           
9780521732321   29.25           19.65           9.60           
9780451232175   10.25           0.66            9.59           
9780691127590   16.75           7.17            9.58           
9780140077032   10.75           1.18            9.57           
9781405194976   27.00           17.49           9.51           
9780375706707   10.25           0.74            9.51           
9780415551397   34.50           25.00           9.50           
9780295956886   12.00           2.50            9.50           
9780679725169   9.50            0.01            9.49           
9780385337441   9.50            0.01            9.49           
9781890447496   9.50            0.01            9.49           
9780140444254   9.50            0.01            9.49           
9780375758409   9.50            0.01            9.49           
9780156907392   9.50            0.01            9.49           
9780060973896   9.50            0.01            9.49           
9780312427252   10.25           0.77            9.48           
9780679406419   23.50           14.03           9.47           
9780743251167   10.75           1.36            9.39           
9780195380538   32.25           22.94           9.31           
9780470485910   13.50           4.20            9.30           
9780205253234   79.25           69.98           9.27           
9780807054055   13.50           4.24            9.26           
9780743467698   10.75           1.49            9.26           
9781422190555   20.25           10.99           9.26           
9781444330625   49.25           39.99           9.26           
9780231134996   18.25           9.00            9.25           
9780500289990   18.25           9.00            9.25           
9780137027415   81.00           71.75           9.25           
9780803282070   12.00           2.83            9.17           
9780801482854   18.75           9.60            9.15           
9780393327724   12.00           2.86            9.14           
9781452243092   68.75           59.62           9.13           
9780807843413   29.75           20.63           9.12           
9780226320557   11.50           2.45            9.05           
9780393343403   11.50           2.48            9.02           
9780393311068   10.00           0.98            9.02           
9780674034907   15.50           6.50            9.00           
9780300151176   17.50           8.50            9.00           
9780226109428   19.50           10.52           8.98           
9781452226743   75.50           66.55           8.95           
9780060838652   13.50           4.56            8.94           
9780738211664   11.50           2.57            8.93           
9780131192447   120.75          111.83          8.92           
9781405849425   14.25           5.33            8.92           
9780374526788   12.75           3.85            8.90           
9780415779203   44.50           35.61           8.89           
9780679724698   10.25           1.40            8.85           
9780809015832   10.00           1.17            8.83           
9780385490818   10.25           1.44            8.81           
9780807737002   16.75           7.94            8.81           
9780520272897   16.75           7.96            8.79           
9780544300460   10.75           1.97            8.78           
9780062333100   17.50           8.73            8.77           
9780521669726   23.50           14.74           8.76           
9780201632217   12.75           3.99            8.76           
